,Date,Price
830,2015-04-10,239.07
831,2015-04-11,237.11
832,2015-04-12,237.75
833,2015-04-13,233.81
834,2015-04-14,221.73
835,2015-04-15,222.56
836,2015-04-16,228.45
837,2015-04-17,225.69
838,2015-04-18,224.25
839,2015-04-19,225.53
840,2015-04-20,225.13
841,2015-04-21,227.8
842,2015-04-22,236.45
843,2015-04-23,236.36
844,2015-04-24,233.4
845,2015-04-25,230.39
846,2015-04-26,220.06
847,2015-04-27,222.15
848,2015-04-28,227.39
849,2015-04-29,227.3
850,2015-04-30,232.83
851,2015-05-01,236.33
852,2015-05-02,236.22
853,2015-05-03,240.85
854,2015-05-04,241.04
855,2015-05-05,237.02
856,2015-05-06,236.09
857,2015-05-07,233.14
858,2015-05-08,240.89
859,2015-05-09,243.58
860,2015-05-10,242.6
861,2015-05-11,242.49
862,2015-05-12,243.21
863,2015-05-13,243.55
864,2015-05-14,243.75
865,2015-05-15,238.82
866,2015-05-16,239.12
867,2015-05-17,238.75
868,2015-05-18,237.24
869,2015-05-19,234.32
870,2015-05-20,234.9
871,2015-05-21,236.41
872,2015-05-22,238.04
873,2015-05-23,240.65
874,2015-05-24,240.88
875,2015-05-25,239.51
876,2015-05-26,238.12
877,2015-05-27,239.03
878,2015-05-28,238.61
879,2015-05-29,238.35
880,2015-05-30,235.75
881,2015-05-31,233.76
882,2015-06-01,228.08
883,2015-06-02,225.61
884,2015-06-03,227.59
885,2015-06-04,226.9
886,2015-06-05,226.14
887,2015-06-06,226.96
888,2015-06-07,226.17
889,2015-06-08,227.17
890,2015-06-09,231.13
891,2015-06-10,231.78
892,2015-06-11,231.56
893,2015-06-12,232.2
894,2015-06-13,232.22
895,2015-06-14,234.76
896,2015-06-15,236.47
897,2015-06-16,242.65
898,2015-06-17,251.68
899,2015-06-18,249.62
900,2015-06-19,249.28
901,2015-06-20,244.54
902,2015-06-21,246.1
903,2015-06-22,246.9
904,2015-06-23,247.05
905,2015-06-24,245.2
906,2015-06-25,244.36
907,2015-06-26,244.53
908,2015-06-27,248.04
909,2015-06-28,250.51
910,2015-06-29,254.25
911,2015-06-30,263.29
912,2015-07-01,260.75
913,2015-07-02,258.75
914,2015-07-03,257.02
915,2015-07-04,259.27
